date,median,95_ci,05_ci,param,age_group,num_diseased
2020-08-01,1.0459525812364756,1.0572478807853678,1.0352592392114308,contact_rate,50-59,1651.0
2020-08-02,1.0456838464211287,1.0569612334264775,1.0340941447592231,contact_rate,50-59,1651.0
2020-08-03,1.0452263538089657,1.0567648759550692,1.0333154768541422,contact_rate,50-59,1651.0
2020-08-04,1.0454505977045896,1.0571383939614873,1.0345951978347583,contact_rate,50-59,1651.0
2020-08-05,1.045819319626563,1.0574754961108581,1.0344600545007137,contact_rate,50-59,1651.0
2020-08-06,1.0469004090929643,1.0586637423027667,1.0354593779997967,contact_rate,50-59,1651.0
2020-08-07,1.0472134692130912,1.0591666221749174,1.0356640137239188,contact_rate,50-59,1651.0
2020-08-08,1.0473772012647227,1.0592759154343925,1.0353289183906385,contact_rate,50-59,1651.0
2020-08-09,1.0470564770896522,1.0590133398657144,1.0349311243469828,contact_rate,50-59,1651.0
2020-08-10,1.0468723514477394,1.0589940531874429,1.0348854775220115,contact_rate,50-59,1651.0
2020-08-11,1.047970109077568,1.0604293562758613,1.036412704602288,contact_rate,50-59,1651.0
2020-08-12,1.047898360494727,1.059977375313036,1.0362620105439049,contact_rate,50-59,1651.0
2020-08-13,1.0485881862451762,1.0607328827653228,1.0367315510842785,contact_rate,50-59,1651.0
2020-08-14,1.0487606805532526,1.061576412008976,1.0373686112756317,contact_rate,50-59,1651.0
2020-08-15,1.048925742973406,1.0614233366586907,1.0371274739315488,contact_rate,50-59,1651.0
2020-08-16,1.0505577280082592,1.0632433553506941,1.0396233378152548,contact_rate,50-59,1651.0
2020-08-17,1.0516039601877862,1.0640407538480459,1.0401274150341442,contact_rate,50-59,1651.0
2020-08-18,1.0540780821675204,1.0670378798741618,1.0424946621945188,contact_rate,50-59,1651.0
2020-08-19,1.0538157936707404,1.0666049903146875,1.0419598944824582,contact_rate,50-59,1651.0
2020-08-20,1.0531097209909104,1.0656158314420547,1.0413734892883904,contact_rate,50-59,1651.0
2020-08-21,1.0533452086515476,1.065934644449732,1.0416288602038908,contact_rate,50-59,1651.0
2020-08-22,1.0533379542071395,1.0661592280672525,1.0408429191120145,contact_rate,50-59,1651.0
2020-08-23,1.0535799540090363,1.066154810964099,1.04122120753318,contact_rate,50-59,1651.0
2020-08-24,1.0543339194766128,1.0666694718976686,1.042188440090245,contact_rate,50-59,1651.0
2020-08-25,1.0532334051642365,1.0667772965131952,1.040441916759478,contact_rate,50-59,1651.0
2020-08-26,1.052979580893465,1.0665454725621668,1.0402701058395123,contact_rate,50-59,1651.0
2020-08-27,1.0530175194338551,1.0667032780762666,1.0399241395359076,contact_rate,50-59,1651.0
2020-08-28,1.0568106730637257,1.0691984669294268,1.0435069895401647,contact_rate,50-59,1651.0
2020-08-29,1.0548906475759545,1.067088126592592,1.0415026550063564,contact_rate,50-59,1651.0
2020-08-30,1.0549896552921165,1.0676878119362512,1.0416592773958815,contact_rate,50-59,1651.0
